RealTime dt Acc1 Acc2 Acc3 Vel1 Vel2 Vel3 Pos1 Pos2 Pos3 AccMag VelMag
637571399700925877 190294 -6,103516E-05 7,629395E-05 -1,525879E-05 0 0 0 0 0 0 9,888825E-05 0
637571399701075957 69801 -0,0009765625 -4,577637E-05 1,525879E-05 0 0 0 0 0 0 0,0009777539 0
637571399705936954 9624 -0,0009002686 -0,0001525879 -1,525879E-05 0 0 0 0 0 0 0,0009132356 0
637571399705947071 10117 -0,0008239746 -0,0001373291 -1,525879E-05 0 0 0 0 0 0 0,0008354796 0
637571399705957034 9963 0,0001525879 -0,0004119873 3,051758E-05 0 0 0 0 0 0 0,0004403952 0
637571399705966959 9925 0,0003356934 -0,0004119873 -0,0006103516 0 0 0 0 0 0 0,0008092914 0
637571399705966959 0 0,0007781982 -0,0002746582 -0,0003662109 0 0 0 0 0 0 0,0009028511 0
637571399705976972 0 0,0004119873 -0,0001068115 0 0 0 0 0 0 0 0,0004256081 0
637571399705986983 0 0,0004119873 -3,051758E-05 -0,0003356934 0 0 0 0 0 0 0,0005323109 0
637571399705997182 0 1,525879E-05 0,0007171631 -0,0001678467 0 0 0 0 0 0 0,0007367009 0
637571399706006991 0 -0,0004730225 0,0005340576 -0,0002288818 0 0 0 0 0 0 0,0007492361 0
637571399706016940 0 -0,0006408691 0,0003814697 0,0003814697 0 0 0 0 0 0 0,0008377061 0
637571399706026948 0 -6,103516E-05 0,0001525879 -0,0001983643 0 0 0 0 0 0 0,000257598 0
637571399706037044 0 -0,0003814697 0,0004272461 -0,0001678467 0 0 0 0 0 0 0,0005968508 0
637571399706046957 9913 -9,155273E-05 0,000289917 -0,0001678467 0 0 0 0 0 0 0,0003472841 0
637571399706056958 10001 4,577637E-05 0,000289917 -0,0002441406 0 0 0 0 0 0 0,0003817748 0
637571399706066982 10024 0,0004577637 0 -0,0002441406 0 0 0 0 0 0 0,0005187988 0
637571399706076941 0 0,0004577637 -0,0007324219 -0,000579834 0 0 0 0 0 0 0,001040287 0
637571399706296970 0 -0,0005493164 -0,0006713867 -0,0004577637 0 0 0 0 0 0 0,0009808446 0
637571399706307098 0 1,525879E-05 -0,0003356934 0 0 0 0 0 0 0 0,00033604 0
637571399706416967 0 -9,155273E-05 0,0008239746 0,0001983643 0 0 0 0 0 0 0,0008524461 0
637571399706626967 9921 -0,0001373291 0,0007171631 -1,525879E-05 0 0 0 0 0 0 0,0007303527 0
637571399706826987 10026 -4,577637E-05 0,0003051758 0,0008239746 0 0 0 0 0 0 0,0008798647 0
637571399707038982 0 -6,103516E-05 0,0004272461 0 0 0 0 0 0 0 0,0004315837 0
637571399707391777 0 -0,0002593994 -0,0001831055 0,0001068115 0 0 0 0 0 0 0,0003349991 0
637571399707506006 0 -0,0001831055 -0,0004882813 0,0005493164 0 0 0 0 0 0 0,0007574264 0
637571399707656191 0 0,0005645752 -7,629395E-05 -0,0003051758 0 0 0 0 0 0 0,0006462957 0
637571399707816007 9779 0,0002746582 -6,103516E-05 0,0002441406 0 0 0 0 0 0 0,0003725145 0
637571399708026012 0 -0,0001983643 -0,0001373291 -0,0002746582 0 0 0 0 0 0 0,0003655746 0
637571399708215996 0 -0,0003814697 -0,0007324219 -0,0003662109 0 0 0 0 0 0 0,0009033667 0
637571399708406497 0 0,0002288818 -0,0002746582 -0,001068115 0 0 0 0 0 0 0,001126363 0
637571399708616050 0 0,0002593994 -0,0002746582 -0,0005645752 0 0 0 0 0 0 0,0006793161 0
637571399708846010 0 0,0001831055 0,0005645752 -0,0001983643 0 0 0 0 0 0 0,0006257964 0
637571399709006000 0 -0,0001831055 0,0002288818 -0,0003509521 0 0 0 0 0 0 0,0004572548 0
637571399709217102 10859 -0,0002441406 -3,051758E-05 -0,0003509521 0 0 0 0 0 0 0,0004286063 0
637571399709410029 0 -0,0004119873 -0,0003204346 -0,0001831055 0 0 0 0 0 0 0,0005531179 0
637571399709609952 0 -0,0004119873 -0,00050354 -0,0002593994 0 0 0 0 0 0 0,00070041 0
637571399709809945 0 0,0003204346 -0,0005645752 9,155273E-05 0 0 0 0 0 0 0,0006555954 0
637571399710019916 0 0,0007019043 -0,0004425049 0,0004272461 0 0 0 0 0 0 0,0009332842 0
637571399710219935 0 0,00050354 7,629395E-05 6,103516E-05 0 0 0 0 0 0 0,0005129314 0
637571399710429960 0 0,0003204346 0,0001525879 -3,051758E-05 0 0 0 0 0 0 0,00035622 0
637571399710639914 0 0,0001068115 0,0006561279 -0,0007781982 0 0 0 0 0 0 0,001023477 0
637571399710819931 0 0,0001220703 0,0006561279 -0,0004730225 0 0 0 0 0 0 0,0008180191 0
637571399710999907 0 -0,000213623 0,001052856 -0,0004730225 0 0 0 0 0 0 0,001173836 0
637571399711219920 0 -0,0009002686 0,0001220703 -0,0005950928 0 0 0 0 0 0 0,001086057 0
637571399711409926 0 -0,001037598 -7,629395E-05 1,525879E-05 0 0 0 0 0 0 0,001040511 0
637571399711599926 0 -0,00112915 0,0001983643 -4,577637E-05 0 0 0 0 0 0 0,001147355 0
637571399711869922 0 -0,001113892 -0,0002746582 -0,0001373291 0 0 0 0 0 0 0,001155444 0
637571399712029955 10043 0,000579834 -0,001113892 -0,0002746582 0 0 0 0 0 0 0,001285457 0
637571399712219929 0 0,001159668 -0,001235962 -3,051758E-05 0 0 0 0 0 0 0,0016951 0
637571399712399906 0 0,001159668 -0,001403809 0,001022339 0 0 0 0 0 0 0,002088225 0
637571399712609939 0 0,001327515 -0,001022339 -0,0004730225 0 0 0 0 0 0 0,00174104 0
637571399712819920 9983 0,001083374 -0,0003662109 -0,0008544922 0 0 0 0 0 0 0,001427574 0
637571399713009912 0 0,0004577637 0,0003967285 -0,0008392334 0 0 0 0 0 0 0,001035014 0
637571399713209948 9842 -0,0007171631 0,001037598 0,0001373291 0 0 0 0 0 0 0,001268775 0
637571399713439929 0 -0,001434326 0,0005493164 0,0002593994 0 0 0 0 0 0 0,001557668 0
637571399713599924 0 -0,001785278 0,0003662109 -0,0001678467 0 0 0 0 0 0 0,001830164 0
637571399713799919 0 -0,001800537 0,0004119873 0,0003814697 0 0 0 0 0 0 0,001886051 0
637571399714019918 0 -0,0004577637 0,0004119873 0,00050354 0 0 0 0 0 0 0,0007955084 0
637571399714199996 0 0,001266479 -0,0001373291 -0,0003356934 0 0 0 0 0 0 0,001317391 0
637571399714406120 0 0,001358032 -0,000289917 -0,000213623 0 0 0 0 0 0 0,001404969 0
637571399714618214 0 0,001846313 -0,0009765625 -0,0002593994 0 0 0 0 0 0 0,002104718 0
637571399714968075 0 0,002258301 -0,001235962 -0,000579834 0 0 0 0 0 0 0,002638888 0
637571399715008048 10025 0,001480103 0 -0,0006408691 0 0 0 0 0 0 0,001612891 0
637571399715218019 0 0,0003509521 -1,525879E-05 0,0002746582 0 0 0 0 0 0 0,0004459118 0
637571399715408021 0 -0,0009613037 0,0004882813 -0,0003204346 0 0 0 0 0 0 0,001124812 0
637571399715638034 10004 -0,001907349 0,001068115 -0,0003204346 0 0 0 0 0 0 0,002209418 0
637571399715808022 0 -0,002319336 0,001174927 -0,0001831055 0 0 0 0 0 0 0,002606396 0
637571399716008041 9967 -0,00100708 0,0008392334 -0,0006866455 0 0 0 0 0 0 0,001479867 0
637571399716218025 0 -0,0003662109 0,0003356934 -0,0006256104 0 0 0 0 0 0 0,0007988672 0
637571399716418266 0 0,0005340576 -0,0005950928 -0,0001831055 0 0 0 0 0 0 0,000820293 0
637571399716618274 0 0,0008850098 -0,001235962 0,00050354 0 0 0 0 0 0 0,001601373 0
637571399716818043 9936 0,001998901 -0,001678467 -0,0001068115 0 0 0 0 0 0 0,00261233 0
637571399717008025 0 0,002212524 -0,001693726 -0,0001983643 0 0 0 0 0 0 0,002793442 0
637571399717218029 9975 0,001403809 -0,0008392334 -0,0004730225 0 0 0 0 0 0 0,001702569 0
637571399717408023 0 3,051758E-05 -0,0001525879 -0,0008239746 0 0 0 0 0 0 0,0008385395 0
637571399717608043 9919 -0,0009460449 0,0009918213 -0,0003509521 0 0 0 0 0 0 0,001414877 0
637571399717828067 0 -0,001419067 0,0005950928 -0,0007171631 0 0 0 0 0 0 0,001697707 0
637571399718018043 0 -0,001800537 0,0008239746 -0,0003356934 0 0 0 0 0 0 0,002008372 0
637571399718218054 0 -0,001525879 0,0003814697 -0,0001983643 0 0 0 0 0 0 0,001585299 0
637571399718408049 0 -0,001525879 -0,0003814697 -0,0001983643 0 0 0 0 0 0 0,001585299 0
637571399718618021 9992 -0,00112915 -0,0001831055 -0,0001983643 0 0 0 0 0 0 0,001160972 0
637571399718808089 0 0,0009613037 -0,0001831055 6,103516E-05 0 0 0 0 0 0 0,0009804885 0
637571399719008025 9928 0,001693726 -0,0007324219 0,0004577637 0 0 0 0 0 0 0,001901235 0
637571399719228068 10052 0,001815796 -0,0007324219 0,0001678467 0 0 0 0 0 0 0,001965128 0
637571399719438004 0 0,001327515 -0,0002593994 6,103516E-05 0 0 0 0 0 0 0,001353997 0
637571399719603671 0 0,001098633 0,000579834 6,103516E-05 0 0 0 0 0 0 0,001243755 0
637571399719804494 0 0,00050354 0,0006408691 0,0001983643 0 0 0 0 0 0 0,0008388172 0
637571399719994289 0 -0,0002441406 0,0009460449 -0,0006866455 0 0 0 0 0 0 0,001194189 0
637571399720214325 0 -0,001068115 0,0005950928 0,0001373291 0 0 0 0 0 0 0,001230392 0
637571399720414360 0 -0,001174927 -0,000289917 0,0004730225 0 0 0 0 0 0 0,001299329 0
637571399720614304 0 -0,001495361 -0,0006256104 -0,0002593994 0 0 0 0 0 0 0,001641579 0
637571399720824334 0 -0,0003967285 -0,0006256104 -0,0004730225 0 0 0 0 0 0 0,0008789381 0
637571399721014329 0 -0,0003967285 -0,0002441406 7,629395E-05 0 0 0 0 0 0 0,000472037 0
637571399721204406 0 0,0005187988 -0,000869751 0,0001525879 0 0 0 0 0 0 0,001024159 0
637571399721414338 10031 0,001419067 -0,001296997 6,103516E-05 0 0 0 0 0 0 0,001923455 0
637571399721614393 0 0,001800537 -0,0002746582 0,0008850098 0 0 0 0 0 0 0,002024997 0
637571399721804322 0 0,001266479 -3,051758E-05 0,0008850098 0 0 0 0 0 0 0,001545362 0
637571399722014336 0 0,0004577637 0,0008544922 0,0009460449 0 0 0 0 0 0 0,001354513 0
637571399722204312 0 -7,629395E-05 0,0009613037 -0,000289917 0 0 0 0 0 0 0,001006964 0
637571399722499678 10001 -0,0008392334 0,0007629395 -0,0001831055 0 0 0 0 0 0 0,001148876 0
637571399722599657 0 -0,00112915 -0,0002746582 0 0 0 0 0 0 0 0,001162075 0
637571399722809682 9844 -0,0009765625 -0,0002746582 -0,0004272461 0 0 0 0 0 0 0,00110075 0
637571399723019658 9951 -0,000869751 -0,0006561279 -0,0004272461 0 0 0 0 0 0 0,001170261 0
637571399723219624 9947 0,0002441406 -0,0007324219 -0,0002441406 0 0 0 0 0 0 0,0008097229 0
637571399723399645 0 0,0004730225 -0,0009002686 -0,0002441406 0 0 0 0 0 0 0,001045867 0
637571399723609898 0 0,0006256104 -0,0004119873 -9,155273E-05 0 0 0 0 0 0 0,0007546547 0
637571399723809870 0 0,0007629395 0,001327515 -0,0007171631 0 0 0 0 0 0 0,001690767 0
637571399724010109 0 -0,001098633 0,004119873 -0,001327515 0 0 0 0 0 0 0,004465719 0
637571399724199933 0 -9,155273E-05 0,0001373291 -3,051758E-05 0 0 0 0 0 0 0,0001678467 0
637571399724409897 0 0,0004577637 -0,001861572 0,0003356934 0 0 0 0 0 0 0,001946199 0
637571399724619926 0 -0,001159668 -0,00100708 0,0003356934 0 0 0 0 0 0 0,001572174 0
637571399724814705 0 -0,0007019043 -0,00100708 -0,0002593994 0 0 0 0 0 0 0,001254659 0
637571399725004693 0 -0,0005340576 -0,0004730225 -0,000793457 0 0 0 0 0 0 0,001067025 0
637571399725204702 0 1,525879E-05 -0,0004730225 3,051758E-05 0 0 0 0 0 0 0,0004742514 0
637571399725404707 9993 0,0001831055 9,155273E-05 -0,0001983643 0 0 0 0 0 0 0,0002850577 0
637571399725634676 9804 0,0009155273 0,0001068115 -0,0001983643 0 0 0 0 0 0 0,0009428401 0
637571399725834683 9858 0,0003509521 -0,0007781982 0,0004882813 0 0 0 0 0 0 0,0009834523 0
637571399726004898 0 -0,004486084 -0,003967285 -0,0004272461 0 0 0 0 0 0 0,006003902 0
637571399726224706 9992 -0,003845215 -0,003967285 0,0007476807 0 0 0 0 0 0 0,005575308 0
637571399726424676 0 0,001235962 -0,002227783 0,0005187988 0 0 0 0 0 0 0,002599956 0
637571399726644700 0 -0,001586914 -0,002227783 -0,001190186 0 0 0 0 0 0 0,002982927 0
637571399726804686 0 0,003189087 0,0008087158 0,002151489 0 0 0 0 0 0 0,003931056 0
637571399727064677 0 0,002853394 -0,002761841 0,003570557 0 0 0 0 0 0 0,005340271 0
637571399727214671 0 -0,0001831055 0,002960205 0,003677368 0 0 0 0 0 0 0,004724339 0
637571399727404687 0 0,000213623 -0,0002593994 0,005355835 0 0 3,92E-06 0 0 1,53664E-09 0,005366367 3,92E-06
637571399727604764 0 0,0007171631 0,00138855 0,008575439 0 0 1,188E-05 0 0 7,82504E-09 0,008716683 1,188E-05
637571399727804681 0 0,002670288 0,004760742 0,009658813 0 0 1,968E-05 0 0 2,013344E-08 0,01109449 1,968E-05
637571399728004670 9857 0,006896973 0,006622314 -0,007339478 3,92E-06 3,92E-06 1,968E-05 1,53664E-09 1,53664E-09 3,556256E-08 0,01205368 2,044591E-05
637571399728204706 0 -0,001144409 0,004821777 -0,005493164 7,82E-06 7,82E-06 1,188E-05 6,11524E-09 6,11524E-09 4,787096E-08 0,007398247 1,623081E-05
