RealTime dt Acc1 Acc2 Acc3 Vel1 Vel2 Vel3 Pos1 Pos2 Pos3 AccMag VelMag
637571289737683956 250008 -0,00050354 0 3,051758E-05 0 0 0 0 0 0 0,000504464 0
637571289737873933 110004 -0,0009002686 -0,00050354 0,0003662109 0 0 0 0 0 0 0,001094599 0
637571289742350476 0 0 0,0002593994 0,000213623 0 0 0 0 0 0 0,00033604 0
637571289742360483 0 0,0001373291 0,0001983643 0,0001525879 0 0 0 0 0 0 0,0002854658 0
637571289742370572 0 -1,525879E-05 -0,000579834 0,0009155273 0 0 0 0 0 0 0,001083804 0
637571289742380492 0 -6,103516E-05 0,0001373291 0,001556396 0 0 0 0 0 0 0,001563635 0
637571289742390498 0 -0,0001525879 0,0001831055 0,001708984 0 0 0 0 0 0 0,001725525 0
637571289742400529 0 -0,0003662109 0,0001068115 0,001403809 0 0 0 0 0 0 0,001454716 0
637571289742410572 0 -0,0003967285 0,000213623 0,0009765625 0 0 0 0 0 0 0,001075501 0
637571289742430503 10015 -0,0005645752 -0,0006256104 0,0002288818 0 0 0 0 0 0 0,0008732241 0
637571289742440538 10035 -0,0007781982 -0,0004272461 0,0008239746 0 0 0 0 0 0 0,001211225 0
637571289742660490 0 0,0001373291 1,525879E-05 4,577637E-05 0 0 0 0 0 0 0,0001455596 0
637571289742670500 0 1,525879E-05 -0,0001373291 0,0004119873 0 0 0 0 0 0 0,0004345407 0
637571289742680513 0 0 9,155273E-05 0,0006103516 0 0 0 0 0 0 0,0006171798 0
637571289742690498 0 -0,0003204346 -0,0001068115 0,000213623 0 0 0 0 0 0 0,0003996521 0
637571289742700497 0 -0,0001373291 -0,0003509521 0,0003814697 0 0 0 0 0 0 0,000536233 0
637571289742710509 10012 0,0003204346 -0,0001678467 0,0002593994 0 0 0 0 0 0 0,0004451279 0
637571289742720491 9982 -3,051758E-05 -0,0007019043 -0,0001525879 0 0 0 0 0 0 0,0007189465 0
637571289743320473 0 4,577637E-05 0,0006103516 0,0006866455 0 0 0 0 0 0 0,0009198405 0
637571289743330499 0 -0,0005493164 -0,0005645752 0,001266479 0 0 0 0 0 0 0,001491464 0
637571289743340539 0 0,0002593994 -0,0003051758 0,0007171631 0 0 0 0 0 0 0,0008214276 0
637571289743350499 0 -6,103516E-05 0,0003051758 -0,0004577637 0 0 0 0 0 0 0,0005535387 0
637571289743360488 0 0,0004425049 -0,0003967285 0,0004577637 0 0 0 0 0 0 0,0007501678 0
637571289743450489 0 -0,0001678467 0,0003814697 0,0002746582 0 0 0 0 0 0 0,000499128 0
637571289743760494 0 0,0002593994 0,0002288818 3,051758E-05 0 0 0 0 0 0 0,0003472841 0
637571289743840492 10008 0,0001068115 0,0001983643 0,0002441406 0 0 0 0 0 0 0,0003322074 0
637571289744020512 0 0,0001983643 -0,0003662109 0,0005340576 0 0 0 0 0 0 0,0006772565 0
637571289744240506 0 -0,0003662109 -0,0004577637 -0,0003509521 0 0 0 0 0 0 0,0006832462 0
637571289744450514 0 -0,0007629395 0,0003356934 -0,0001068115 0 0 0 0 0 0 0,0008403424 0
637571289744650477 0 -9,155273E-05 4,577637E-05 0,001556396 0 0 0 0 0 0 0,001559759 0
637571289744860483 0 -0,0008544922 0,0001525879 0,0009002686 0 0 0 0 0 0 0,001250569 0
637571289745060502 0 -0,0005493164 -0,0005493164 -0,0001678467 0 0 0 0 0 0 0,0007947764 0
637571289745330613 0 0,0001220703 0,0003051758 0,0009460449 0 0 0 0 0 0 0,001001516 0
637571289745437235 0 1,525879E-05 0,0003814697 0,000213623 0 0 0 0 0 0 0,0004374777 0
637571289745643582 0 -0,0003356934 -0,0001525879 0 0 0 0 0 0 0 0,0003687453 0
637571289745843899 0 0,000289917 0,0001068115 0,0001373291 0 0 0 0 0 0 0,0003381122 0
637571289746033598 0 0,00050354 -0,000289917 0,0004272461 0 0 0 0 0 0 0,0007212099 0
637571289746233598 0 -0,0003509521 0,0005645752 0,0004119873 0 0 0 0 0 0 0,0007820781 0
637571289746433598 0 -0,0001373291 0,0003356934 0,0006408691 0 0 0 0 0 0 0,0007363848 0
637571289746653613 9968 -0,0002441406 0,0002746582 0,0009460449 0 0 0 0 0 0 0,00101491 0
637571289746843597 0 -0,0001678467 -0,0003509521 0,0003509521 0 0 0 0 0 0 0,0005239345 0
637571289747053601 0 0,0002593994 -0,0002746582 0,0009307861 0 0 0 0 0 0 0,001004534 0
637571289747233600 0 0,0001525879 -0,0003204346 7,629395E-05 0 0 0 0 0 0 0,0003630181 0
637571289747433609 0 6,103516E-05 6,103516E-05 -0,0005493164 0 0 0 0 0 0 0,0005560567 0
637571289747623605 0 9,155273E-05 -0,0001373291 -1,525879E-05 0 0 0 0 0 0 0,0001657529 0
637571289747863611 0 -6,103516E-05 -0,0003662109 -0,00050354 0 0 0 0 0 0 0,0006256104 0
637571289748033622 0 -0,0008392334 0,0001220703 1,525879E-05 0 0 0 0 0 0 0,000848202 0
637571289748303596 0 -0,0004730225 -4,577637E-05 0,0004882813 0 0 0 0 0 0 0,0006813694 0
637571289748423602 10002 -0,0004425049 -1,525879E-05 0,0003662109 0 0 0 0 0 0 0,0005745902 0
637571289748633596 0 -7,629395E-05 0,0001373291 0,0005187988 0 0 0 0 0 0 0,000542063 0
637571289748843602 0 -0,00100708 0,0005645752 -0,0007019043 0 0 0 0 0 0 0,001351157 0
637571289749023618 0 0,0001220703 0,0006256104 0,001449585 0 0 0 0 0 0 0,001583536 0
637571289749223586 0 0,0003051758 -0,0002593994 4,577637E-05 0 0 0 0 0 0 0,0004031325 0
637571289749413582 0 -0,0001831055 -0,0007171631 0,000213623 0 0 0 0 0 0 0,00077038 0
637571289749639452 10007 0,0001373291 0,0001220703 0,0007324219 0 0 0 0 0 0 0,0007551174 0
637571289749859502 0 -9,155273E-05 0,001022339 -0,0006866455 0 0 0 0 0 0 0,001234925 0
637571289750019462 0 0,0001373291 0,0001525879 0,000579834 0 0 0 0 0 0 0,0006151014 0
637571289750249447 0 7,629395E-05 0,0002593994 3,051758E-05 0 0 0 0 0 0 0,0002721032 0
637571289750439458 0 0,0006103516 0,0004272461 0,0008850098 0 0 0 0 0 0 0,001156854 0
637571289750634335 0 -0,0002288818 -0,0003204346 0,000289917 0 0 0 0 0 0 0,000488996 0
637571289750833720 0 0,0001983643 -0,0001678467 0,0001373291 0 0 0 0 0 0 0,000293905 0
637571289751043736 9984 0,000289917 -0,0003662109 0,0006866455 0 0 0 0 0 0 0,0008304483 0
637571289751383711 0 -0,0002593994 -0,0003356934 0,0006256104 0 0 0 0 0 0 0,0007558878 0
637571289751443731 9887 0,0003509521 -1,525879E-05 0,0001678467 0 0 0 0 0 0 0,0003893235 0
637571289751623819 10100 -6,103516E-05 -0,0004730225 0,0001068115 0 0 0 0 0 0 0,0004887579 0
637571289751823711 0 -0,000289917 0,0008850098 -0,0001983643 0 0 0 0 0 0 0,0009521778 0
637571289752023717 9941 -6,103516E-05 -4,577637E-05 0,001159668 0 0 0 0 0 0 0,001162175 0
637571289752233717 0 -0,0001678467 -0,0001373291 0,0004425049 0 0 0 0 0 0 0,0004927904 0
637571289752423722 0 -0,0004882813 0,0005340576 0,001449585 0 0 0 0 0 0 0,001620164 0
637571289752633723 9910 -0,0001831055 -0,0004577637 -0,0001678467 0 0 0 0 0 0 0,0005208144 0
637571289752863716 9947 -0,0001678467 -0,0001220703 0,0008392334 0 0 0 0 0 0 0,0008645151 0
637571289753033724 0 -0,0002441406 -0,001342773 -0,000289917 0 0 0 0 0 0 0,001395241 0
637571289753233711 9950 -0,0003814697 0,0001525879 0,0008239746 0 0 0 0 0 0 0,000920726 0
637571289753423713 0 0 -0,0002593994 -0,0006561279 0 0 0 0 0 0 0,0007055437 0
637571289753623725 10013 -0,0005187988 0,0002593994 0,001724243 0 0 0 0 0 0 0,001819191 0
637571289753833719 0 -0,0003509521 -7,629395E-05 0,0002746582 0 0 0 0 0 0 0,0004521342 0
637571289754023727 0 1,525879E-05 -0,0002288818 0,000289917 0 0 0 0 0 0 0,0003696912 0
637571289754229202 10174 9,155273E-05 -0,0001068115 -0,0006256104 0 0 0 0 0 0 0,0006412324 0
637571289754439020 0 0,0003662109 0,0001068115 -0,0007171631 0 0 0 0 0 0 0,0008123066 0
637571289754639039 0 0,000289917 -0,0001220703 0,0007171631 0 0 0 0 0 0 0,0007831194 0
637571289754819026 0 -0,0001678467 -0,0006103516 0,001022339 0 0 0 0 0 0 0,001202447 0
637571289755019050 0 -0,0001678467 -0,0003204346 0,0004730225 0 0 0 0 0 0 0,0005954839 0
637571289755219160 0 -0,0003204346 9,155273E-05 0,0008544922 0 0 0 0 0 0 0,0009171789 0
637571289755419112 0 3,051758E-05 -0,0001831055 -7,629395E-05 0 0 0 0 0 0 0,000200698 0
637571289755629029 0 0,0002288818 0,0001678467 0,0001525879 0 0 0 0 0 0 0,000322246 0
637571289755860135 9974 -0,0009918213 -1,525879E-05 0,00050354 0 0 0 0 0 0 0,001112427 0
637571289756030134 0 4,577637E-05 0,000289917 0,0004272461 0 0 0 0 0 0 0,0005183499 0
637571289756240142 9968 0,0002593994 0,0001525879 0,0005493164 0 0 0 0 0 0 0,0006263542 0
637571289756420361 0 -0,0003204346 -0,0001678467 0,0003662109 0 0 0 0 0 0 0,0005147439 0
637571289756640138 0 3,051758E-05 -0,0003204346 0 0 0 0 0 0 0 0,0003218845 0
637571289756830169 9983 -0,0001983643 -0,0003967285 0,0007781982 0 0 0 0 0 0 0,0008957312 0
637571289757020137 0 -0,0001983643 0,0001525879 0,0006408691 0 0 0 0 0 0 0,0006880005 0
637571289757230129 0 -0,0001373291 -0,0002593994 0,0004119873 0 0 0 0 0 0 0,0005058467 0
637571289757430219 10021 -0,0001831055 -0,0003051758 -1,525879E-05 0 0 0 0 0 0 0,00035622 0
637571289757640131 0 -0,0001678467 0,0009918213 0,0001678467 0 0 0 0 0 0 0,001019831 0
637571289757840136 0 7,629395E-05 0,0001068115 0,0004577637 0 0 0 0 0 0 0,0004762111 0
637571289758040268 0 0,0003204346 -0,0003814697 0,0003356934 0 0 0 0 0 0 0,0006007391 0
637571289758220142 0 -0,0001068115 -0,0007019043 0,001068115 0 0 0 0 0 0 0,001282555 0
637571289758430133 0 0,0002593994 -0,0005187988 0,0009460449 0 0 0 0 0 0 0,001109703 0
637571289758640137 10009 0,0004119873 0,0001831055 0,0007781982 0 0 0 0 0 0 0,0008993629 0
637571289758880133 9986 -4,577637E-05 0 0,0003356934 0 0 0 0 0 0 0,0003388001 0
637571289759040426 0 0,0006103516 0,0003356934 -0,0001678467 0 0 0 0 0 0 0,0007165135 0
637571289759230257 0 -0,0001373291 0,0003051758 0,0007324219 0 0 0 0 0 0 0,0008052536 0
637571289759430137 0 1,525879E-05 0,0008392334 4,577637E-05 0 0 0 0 0 0 0,0008406194 0
637571289759640132 0 -0,0005493164 0,0001831055 -0,0001831055 0 0 0 0 0 0 0,0006072921 0
637571289759830152 0 -0,0002746582 -0,0001220703 0 0 0 0 0 0 0 0,0003005633 0
637571289760030133 0 1,525879E-05 -0,0001983643 0,0001373291 0 0 0 0 0 0 0,0002417447 0
637571289760220129 0 -0,0006866455 -0,0003356934 0,0008544922 0 0 0 0 0 0 0,001146442 0
637571289760450279 10111 -0,0006561279 0,0004730225 0,0002288818 0 0 0 0 0 0 0,0008406194 0
637571289760640139 0 9,155273E-05 0,0003051758 -0,000213623 0 0 0 0 0 0 0,0003836 0
637571289760829636 5479 -0,0001373291 0,0005493164 0,0007476807 0 0 0 0 0 0 0,0009378882 0
637571289761027457 0 0,0003814697 -0,0001068115 4,577637E-05 0 0 0 0 0 0 0,0003987773 0
637571289761227445 0 0,0006713867 -4,577637E-05 0,001419067 0 0 0 0 0 0 0,001570544 0
637571289761423665 0 -0,0001678467 0,0001220703 0,0007019043 0 0 0 0 0 0 0,0007319449 0
637571289761639778 0 9,155273E-05 -0,0003204346 0,001327515 0 0 0 0 0 0 0,001368706 0
637571289761891518 0 -1,525879E-05 7,629395E-05 3,051758E-05 0 0 0 0 0 0 8,357583E-05 0
637571289762028197 0 0,0002441406 1,525879E-05 -4,577637E-05 0 0 0 0 0 0 0,0002488633 0
637571289762235684 0 0,0002593994 0,0003662109 0,0006713867 0 0 0 0 0 0 0,0008075634 0
637571289762448297 0 -0,0001068115 4,577637E-05 0,0005187988 0 0 0 0 0 0 0,0005316544 0
637571289762629738 741 -0,0004882813 -0,0001525879 -3,051758E-05 0 0 0 0 0 0 0,0005124773 0
637571289762824653 0 -0,0003662109 0,0008850098 0,0009765625 0 0 0 0 0 0 0,001367855 0
637571289763019948 0 -0,0004425049 -0,0001831055 0,0009460449 0 0 0 0 0 0 0,001060349 0
637571289763230277 0 -0,000869751 -0,0008544922 0,0009307861 0 0 0 0 0 0 0,001533945 0
637571289763440287 0 0,0001983643 0 0,0001373291 0 0 0 0 0 0 0,0002412626 0
637571289763650273 0 6,103516E-05 0 -0,0003204346 0 0 0 0 0 0 0,0003261956 0
637571289763820328 0 0 -9,155273E-05 -0,0004119873 0 0 0 0 0 0 0,0004220373 0
637571289764080269 0 0,0003509521 4,577637E-05 0 0 0 0 0 0 0 0,000353925 0
637571289764220277 0 1,525879E-05 -0,0002593994 0,0002593994 0 0 0 0 0 0 0,0003671634 0
637571289764430897 0 -0,0004730225 -7,629395E-05 0,000579834 0 0 0 0 0 0 0,0007521824 0
637571289764640894 0 -0,0007476807 0,0001068115 0,0006561279 0 0 0 0 0 0 0,001000469 0
637571289764941139 0 0,0006103516 0,0002746582 -0,0001983643 0 0 0 0 0 0 0,0006980792 0
637571289765050931 0 -0,0004425049 -1,525879E-05 0,0009155273 0 0 0 0 0 0 0,001016973 0
637571289765230896 0 0,0003051758 -0,0004425049 6,103516E-05 0 0 0 0 0 0 0,0005409881 0
637571289765430877 0 -0,000793457 0,0005187988 0,0008392334 0 0 0 0 0 0 0,001266112 0
637571289765631385 0 -0,0009155273 0,0001831055 -0,000289917 0 0 0 0 0 0 0,0009776348 0
637571289765831379 0 -4,577637E-05 0,0001983643 0,0004577637 0 0 0 0 0 0 0,0005009904 0
637571289766031375 9995 0,0003662109 0,0009307861 -0,001083374 0 0 0 0 0 0 0,001474508 0
637571289766221371 0 4,577637E-05 -0,0001220703 0,0007476807 0 0 0 0 0 0 0,0007589618 0
637571289766471374 9922 0 -0,0003967285 -0,0002288818 0 0 0 0 0 0 0,0004580179 0
637571289766636614 0 -0,0005187988 0,0002746582 0,001083374 0 0 0 0 0 0 0,001232189 0
637571289766841831 9994 -0,0003967285 -0,000213623 -3,051758E-05 0 0 0 0 0 0 0,0004516189 0
637571289767021811 9955 -0,0005187988 0,0004272461 -0,0001678467 0 0 0 0 0 0 0,0006927222 0
637571289767241796 0 0,0001678467 0,0001220703 0,0006103516 0 0 0 0 0 0 0,0006446725 0
637571289767421799 0 0,0001983643 0,0004882813 0,0007629395 0 0 0 0 0 0 0,0009272775 0
637571289767631796 0 -3,051758E-05 -0,0003662109 0,001083374 0 0 0 0 0 0 0,001144002 0
637571289767836997 0 1,525879E-05 6,103516E-05 -0,001190186 0 0 0 0 0 0 0,001191847 0
637571289768022160 0 0,001235962 -0,002792358 6,103516E-05 0 0 0 0 0 0 0,003054274 0
637571289768232163 0 -0,002548218 0,007843018 0,001434326 0 3,38E-06 0 0 1,14244E-09 0 0,008370402 3,38E-06
637571289768422163 0 0,0003204346 -0,000213623 -0,000213623 0 6,84E-06 0 0 4,67856E-09 0 0,0004403952 6,84E-06
637571289768622178 0 0 0,0008392334 -0,001098633 0 6,84E-06 0 0 9,1656E-09 0 0,0013825 6,84E-06
637571289768822141 9988 0,0002441406 -0,0009460449 0,0006866455 0 6,84E-06 0 0 1,392624E-08 0 0,001194189 6,84E-06
637571289769027437 0 -0,001617432 0,003723145 -0,002349854 0 6,84E-06 0 0 1,855008E-08 0 0,004690384 6,84E-06
637571289769232932 0 0,0003204346 -0,001586914 0,00201416 0 6,84E-06 0 0 2,331072E-08 0 0,002584147 6,84E-06
637571289769472915 0 -0,0004577637 0,0006408691 -0,001373291 0 6,84E-06 0 0 2,796192E-08 0 0,001583095 6,84E-06
637571289769632942 0 -9,155273E-05 -0,0005340576 0,0004882813 0 6,84E-06 0 0 3,277728E-08 0 0,0007293957 6,84E-06
637571289769822918 0 -0,0001525879 0,0005340576 0,000213623 0 6,84E-06 0 0 3,751056E-08 0 0,0005950928 6,84E-06
637571289770032925 0 0,0004730225 0,0001525879 -0,0006103516 0 6,84E-06 0 0 4,221648E-08 0 0,0007871228 6,84E-06
637571289770228189 10004 0,0001068115 -9,155273E-05 -0,0001525879 0 6,84E-06 0 0 4,700448E-08 0 0,000207542 6,84E-06
637571289770433460 0 -0,0006866455 -0,0003662109 -4,577637E-05 0 6,84E-06 0 0 5,176512E-08 0 0,0007795434 6,84E-06
637571289770623464 0 -4,577637E-05 -0,0001525879 -0,0001525879 0 6,84E-06 0 0 5,660784E-08 0 0,0002205937 6,84E-06
637571289770833452 0 -0,0001373291 -0,0003356934 -0,0001220703 0 6,84E-06 0 0 6,136848E-08 0 0,0003826885 6,84E-06
637571289771089220 0 0,0001068115 3,051758E-05 -0,000213623 0 6,84E-06 0 0 6,612912E-08 0 0,0002407796 6,84E-06
637571289771229211 0 7,629395E-05 0,0005493164 -0,0002593994 0 6,84E-06 0 0 7,08624E-08 0 0,0006122559 6,84E-06
637571289771440631 0 0,002166748 -0,006561279 -0,0003967285 0 3,38E-06 0 0 7,439852E-08 0 0,006921169 3,38E-06
637571289771623689 0 -0,01309204 0,001998901 0,0006103516 -3,46E-06 -8,000006E-08 0 -1,19716E-09 7,554032E-08 0 0,01325782 3,460925E-06
637571289771839401 9956 -0,003082275 -0,01077271 -0,002548218 -6,92E-06 -3,54E-06 0 -4,78864E-09 7,42878E-08 0 0,01149108 7,772901E-06
637571289772029390 0 0,001312256 0,02992249 -0,003799438 -6,92E-06 3,46E-06 0 -9,63264E-09 7,425979E-08 0 0,03019127 7,736795E-06
637571289772219387 0 0,001098633 -0,004653931 0,0009918213 -6,92E-06 1,39E-05 0 -1,444896E-08 8,030108E-08 0 0,004883623 1,552728E-05
637571289772519456 0 0 -0,0003967285 0,0007781982 -6,92E-06 1,39E-05 0 -1,932064E-08 9,008668E-08 0 0,0008734907 1,552728E-05
637571289772629478 9963 0,0003356934 -0,003173828 0,0007476807 -6,92E-06 1,39E-05 0 -2,410928E-08 9,970548E-08 0 0,003277942 1,552728E-05
637571289772820128 0 0,001281738 -0,005966187 -0,002029419 -6,92E-06 1,044E-05 0 -2,889792E-08 1,081271E-07 0 0,006430923 1,252517E-05
637571289773035573 0 -0,002365112 -0,001464844 0,001296997 -6,92E-06 6,98E-06 0 -3,368656E-08 1,141544E-07 0 0,003069483 9,828876E-06
637571289773235472 0 -0,001586914 0,003860474 0,001602173 -6,92E-06 6,98E-06 0 -3,850288E-08 1,190125E-07 0 0,004470851 9,828876E-06
637571289773435464 9957 0,0009307861 0,00112915 0,001464844 -6,92E-06 6,98E-06 0 -4,326384E-08 1,238148E-07 0 0,002070534 9,828876E-06
637571289773630650 9977 0,002990723 -0,00769043 -0,001403809 -6,92E-06 3,52E-06 0 -4,805247E-08 1,274478E-07 0 0,008370054 7,763813E-06
637571289773820646 0 -0,0007019043 0,002090454 0,009872437 -6,92E-06 4,000003E-08 3,48E-06 -5,286879E-08 1,286866E-07 1,21104E-09 0,01011571 7,745863E-06
637571289774025824 0 -0,0002746582 0,001068115 0,001098633 -6,92E-06 4,000003E-08 7,02E-06 -5,776815E-08 1,28715E-07 4,92804E-09 0,001556696 9,857403E-06
637571289774245911 10127 0,0008544922 -0,002349854 -4,577637E-05 -6,92E-06 4,000003E-08 7,02E-06 -6,263983E-08 1,287431E-07 9,87012E-09 0,002500813 9,857403E-06
637571289774431204 9950 4,577637E-05 -0,004394531 0,001037598 -6,92E-06 4,000003E-08 7,02E-06 -6,748382E-08 1,287711E-07 1,478412E-08 0,004515596 9,857403E-06
637571289774641221 0 -0,00151062 -0,001739502 0,001800537 -6,92E-06 4,000003E-08 7,02E-06 -7,227246E-08 1,287988E-07 1,964196E-08 0,002924 9,857403E-06
637571289774816420 0 0,0004425049 0,006378174 0,01379395 -6,92E-06 3,56E-06 1,054E-05 -7,714414E-08 1,30066E-07 2,582308E-08 0,01520361 1,310159E-05
637571289775036680 10226 -0,003585815 -0,002197266 0,004257202 -6,92E-06 7,08E-06 1,406E-05 -8,201582E-08 1,338113E-07 3,448228E-08 0,005984131 1,719582E-05
637571289775236425 0 -0,001022339 -0,003173828 0,001312256 -6,92E-06 7,08E-06 1,406E-05 -8,683215E-08 1,38739E-07 4,426803E-08 0,003583347 1,719582E-05
637571289775546664 10143 -0,001831055 -0,002334595 0,01322937 -6,92E-06 7,08E-06 1,75E-05 -9,159311E-08 1,4361E-07 5,512467E-08 0,013558 2,010629E-05
637571289775636423 0 -0,009033203 0,007781982 0,01542664 -1,05E-05 1,066E-05 2,824E-05 -9,782947E-08 1,499609E-07 7,149959E-08 0,01949716 3,195908E-05
